time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
13.738087,0.188492,-0.063336,-0.125374
13.758096,0.113758,0.032096,-0.113062
13.798110,0.172539,-0.001270,0.566992
13.828120,-0.142380,-0.086698,0.118400
13.868136,-0.439671,-0.024211,-0.019038
13.898129,-0.692524,0.116500,0.046012
13.928157,0.092419,0.453398,-0.196754
13.968165,0.087933,0.216493,-0.827507
13.998167,0.613616,-0.461949,-0.146074
14.028200,0.947728,-0.760786,-0.022533
14.058212,1.166936,-0.878680,-0.126548
14.088224,0.967751,-0.746576,-0.110513
14.128237,0.969945,0.090093,0.203786
14.168234,0.833252,0.644805,0.146886
14.198236,0.748552,0.631819,-0.081029
14.228266,0.837911,0.454163,-0.152270
14.268292,0.382374,0.092345,-0.205218
14.308307,0.004773,-0.180668,-0.110742
14.338317,0.415957,-0.366883,0.136203
14.358328,0.213339,-0.385111,0.006953
14.398341,0.268930,-0.044593,0.001616
14.428335,0.487982,-0.221293,-0.376791
14.458364,0.422873,-0.861463,-1.015071
14.498381,0.772922,-0.044137,0.274453
14.518362,0.805175,-0.283911,-0.010692
14.558404,1.106527,-0.478685,0.274251
14.598403,0.980668,-0.141879,0.245238
14.628416,1.152028,-0.196480,0.029613
14.658442,1.427923,-0.336305,0.197500
14.688454,1.665660,0.059385,0.340150
14.728469,2.258986,0.335589,0.243857
14.768485,2.002226,0.480866,0.073967
14.798496,2.533119,0.261794,0.060964
14.828487,2.341579,0.118202,0.117638
14.858515,2.339462,0.141741,0.111691
14.898530,1.424893,-0.116511,-0.167455
14.928526,1.898759,0.051496,-0.197826
14.968557,1.703911,-0.442755,-0.154019
14.998573,1.530229,-0.511221,-0.194835
15.028584,1.311714,-0.259046,-0.085146
15.058596,1.003680,-0.238059,-0.303123
15.098612,1.165801,-0.198352,-0.268170
15.128624,1.158197,0.190105,0.065480
15.158635,0.997305,-0.235322,-0.203116
15.198637,0.856906,0.354308,0.184081
15.228636,0.951843,0.541177,0.410969
15.258673,0.802763,0.300000,0.090494
15.298666,0.835217,-0.728865,0.159775
15.328695,0.989469,0.105027,0.565656
15.358694,0.622641,0.390120,0.423744
15.398728,0.697812,0.461143,0.333689
15.428740,0.729329,0.321511,0.197150
15.458751,0.713879,0.031130,0.214096
15.498767,0.696135,0.133582,0.060707
15.538781,0.599021,-0.518949,-0.260933
15.568793,0.775702,-0.348029,-0.224600
15.588802,0.676864,-0.387037,-0.214802
15.628816,0.371406,-0.121099,-0.126229
15.658827,0.346282,0.688692,0.265173
15.698829,0.438022,-0.081036,-0.003115
15.728845,0.387643,-0.126832,0.048088
15.768858,0.155526,0.114253,0.039514
15.798883,0.307024,0.043534,-0.103055
15.828895,0.399127,-0.007351,-0.663259
15.858906,0.202286,-0.124205,-0.613540
15.898920,0.233593,-0.196809,-0.241578
15.928930,0.108238,-0.061747,0.027697
15.958914,-0.005858,-0.051348,0.364868
15.998960,-0.752295,0.122073,-0.131550
16.028937,-1.010842,0.034776,-0.081356
16.068968,-1.486127,0.643236,-0.488593
16.098997,-1.937554,0.749139,-0.227681
16.129011,-1.636790,-0.000928,0.536178
16.169024,-2.048999,0.492464,-0.284665
16.199035,-1.892902,-0.137171,0.366400
16.229048,-1.909732,-0.009875,0.120952
16.259059,-1.485315,-0.276393,0.037824
16.299055,-1.605128,-0.561435,0.376969
16.329065,-1.458426,-0.232382,0.098222
16.359094,-1.123659,0.220581,-0.205666
16.399115,-1.210536,0.210201,0.174754
16.429106,-0.965759,0.286169,0.022244
16.459138,-0.552334,0.297688,-0.187623
16.499152,-0.327012,0.249986,0.221183
16.539169,-0.277959,0.092827,-0.163441
16.569181,0.400538,0.012073,0.104907
16.599191,0.099931,-0.051254,0.107640
16.629203,-0.325191,-0.008644,-0.096249
16.659215,-0.465328,0.059967,-0.022829
16.709231,-0.538810,0.027473,0.200871
16.739218,-0.717036,0.031318,0.172021
16.769247,-0.688627,0.040682,0.196687
16.799263,-0.724009,0.020179,0.130333
16.829275,-0.682473,0.030766,0.219906
16.869287,-0.693355,-0.001746,0.251196
16.889303,-0.741938,-0.021882,0.227371
16.929298,-0.817999,0.107661,-0.044691
16.969309,-0.644758,0.363168,-0.103571
16.999347,-0.285928,0.436975,-0.288954
17.029359,0.093727,0.315925,0.011268
17.059371,0.424355,0.111684,-0.059120
17.099384,0.831033,-0.083033,0.113221
17.139400,1.417685,-0.181481,-0.175045
17.169410,1.228090,-0.703977,-0.522037
17.199423,1.281633,-0.064941,-0.096481
17.229434,1.007833,-0.408913,-0.357322
17.269437,1.221055,-0.457810,-0.513240
17.299452,1.155637,-0.025386,0.355003
17.329465,0.552780,-0.146567,-0.290259
17.359463,1.678244,-0.252568,0.524753
17.389493,0.602683,-0.457273,-0.319341
17.429494,1.937035,-0.271908,0.474715
17.469524,1.301444,-0.215611,0.073034
17.499532,1.153728,-0.234706,-0.123164
17.529534,0.860478,-0.215735,-0.130599
17.559533,1.255271,-0.014311,0.074575
17.589547,0.859113,-0.013967,-0.146012
17.639592,0.723757,-0.018399,-0.106905
17.659602,0.943693,-0.197121,-0.065288
17.689613,0.716676,-0.339511,-0.171339
17.729627,0.891991,-0.539832,-0.125920
17.769616,0.786119,-0.481384,-0.074981
17.799655,0.633103,-0.384130,0.004270
17.829644,0.273197,-0.140838,0.021110
17.859677,0.734979,0.405026,0.247619
17.899693,0.772483,0.115089,0.180623
17.929684,1.023992,-0.161276,0.272579
17.959708,0.909917,-0.283877,0.234023
17.989713,1.220806,-1.183612,0.172022
18.029713,0.993914,-0.476164,0.069985
18.069759,0.967275,0.519392,0.161739
18.099770,0.676709,0.205189,-0.027321
18.129783,0.940868,-0.561000,-0.120938
18.159794,0.926038,-0.345961,-0.172278
18.199811,1.002920,1.303011,0.539966
18.219817,0.706408,1.384615,0.123197
18.269836,0.916551,-0.359990,-0.377793
18.299847,1.253324,0.131619,0.227217
18.329858,0.737943,0.428960,-0.139028
18.369863,0.858086,0.310432,-0.018783
18.399869,1.136738,-0.191349,-0.033053
18.429890,1.322498,-0.498864,0.052934
18.449905,1.300322,-0.325453,0.001878
18.499905,1.071253,0.116767,0.163987
