time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
16.335587,-0.381796,-0.190390,0.272530
16.365581,0.022584,-0.061377,0.189248
16.395590,1.010048,0.040828,-0.765874
16.435602,0.173404,-0.185414,-0.380748
16.475606,-0.193451,-0.176905,0.144322
16.495621,0.034459,-0.117759,0.183965
16.535634,0.035704,0.074014,0.124769
16.555641,-0.240326,0.090978,0.399130
16.605659,-0.236233,0.266232,0.375789
16.645656,0.135433,0.350920,0.179987
16.665677,0.172735,0.276808,0.085077
16.705684,0.262965,0.083277,-0.065151
16.735697,0.577605,-0.070047,-1.048113
16.765681,1.110751,-0.342052,-0.659047
16.805694,-0.301996,-0.241213,0.273810
16.835734,-0.290122,-0.106977,0.428378
16.865744,0.243566,0.009161,0.178048
16.905746,-0.052265,-0.123564,0.045509
16.935767,-0.578198,-0.207744,0.158192
16.965770,-0.803090,-0.308216,0.244338
16.995786,-1.292531,-0.361304,0.215137
17.025796,-1.757753,-0.355566,0.395486
17.075812,-1.279205,-0.237572,-0.067563
17.115825,-0.487050,-0.276042,-0.307689
17.135802,-0.840815,-0.253447,-0.220481
17.165832,-1.935657,-0.327465,0.028911
17.205854,-3.495677,-0.749365,0.430845
17.235865,-3.392010,-0.419132,0.202051
17.265873,-3.860235,-0.652093,0.014286
17.305886,-3.880066,-0.488873,0.145957
17.335895,-5.570286,-0.829555,0.281254
17.365905,-5.501076,-0.947336,0.193018
17.405919,-2.943564,0.104697,0.186736
17.445924,-2.222605,0.279491,-0.502557
17.465938,-1.611916,0.306051,0.126076
17.505924,-1.888629,0.299832,0.168177
17.535957,-1.152716,0.407698,0.392225
17.565942,-0.805288,0.298912,0.219404
17.595981,-0.371314,0.337527,0.271669
17.625984,-0.017327,0.067116,-0.285909
17.676006,0.198419,0.120620,-0.300620
17.706017,0.033965,0.078208,-0.013403
17.736022,-0.526371,-0.009288,0.238490
17.766008,-0.293586,0.060400,0.216653
17.806050,0.624985,-0.281467,-0.658493
17.836059,1.021922,-0.168286,-1.039841
17.866070,0.695164,-0.088749,-0.402812
17.896078,-0.819086,-0.065513,0.196698
17.936091,-0.376173,0.034308,0.294770
17.966100,-0.228774,0.054280,0.218743
17.996110,-0.137364,-0.023089,-0.068647
18.036124,0.860857,-0.347707,-1.144373
18.066131,0.621521,-0.350608,-0.315220
18.106147,-0.630747,-0.257894,0.214629
18.136142,-0.188772,-0.140523,-0.004945
18.176143,0.621430,-0.096995,-0.160586
18.216183,0.235756,-0.085998,0.334732
18.236171,0.485553,0.042628,0.299118
18.276202,1.020302,-0.096671,-0.197335
18.306212,1.398173,-0.017178,0.026834
18.336222,1.185635,0.083422,0.006114
18.366231,0.994905,0.049671,0.062694
18.416247,0.774425,0.016226,0.018217
18.436255,0.963628,0.086309,0.098428
18.476266,1.053140,0.061420,0.079994
18.496261,1.288722,0.067443,0.109093
18.536286,1.611363,-0.009861,-0.037652
18.576293,2.284514,0.280374,-0.048517
18.596306,1.791740,0.016297,-0.017817
18.636319,1.691073,-0.021671,0.064313
18.666327,1.381379,-0.014823,0.006653
18.706343,0.954264,0.033056,0.091052
18.736353,0.599467,0.115602,0.162352
18.766361,0.989060,0.420129,0.032316
18.806348,0.388905,0.259237,0.045657
18.826359,0.185417,0.255372,0.096394
18.876398,1.258029,0.490069,0.005209
18.906402,0.548596,0.292521,0.010301
18.936417,1.085486,0.403085,0.061889
18.966427,1.295485,0.304910,-0.080055
19.006412,0.552236,0.133773,0.002053
19.036450,0.166470,-0.048932,0.045017
19.066460,0.395318,-0.028031,0.004196
19.096470,0.518433,0.100104,-0.110270
19.126479,0.614902,0.155872,-0.100619
19.176482,1.257267,0.106302,-0.644206
19.206481,1.750287,-0.503461,-1.212149
19.236510,0.059301,-0.091574,-0.061177
19.256520,0.330053,-0.128475,0.068196
19.306539,1.193034,-0.005582,-0.172054
19.336548,0.949280,0.109904,-0.057478
19.366558,1.627533,-0.081320,-0.245262
19.406570,1.455887,-0.103715,-0.086360
19.436580,1.146734,-0.014157,-0.112714
19.476593,1.324611,-0.125229,-0.329376
